pop,geno,year,BLUP,genotype_year,real
Dic2 x Lloyd,BX07.2.1f1.5.1,2012,-1.58520136921091,BX07.2.1f1.5.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.5.2,2012,-1.40059599843286,BX07.2.1f1.5.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.50.1,2012,0.466148675289853,BX07.2.1f1.50.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.50.2,2012,-0.341061545927279,BX07.2.1f1.50.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.6.1,2012,-0.207218270024698,BX07.2.1f1.6.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.6.2,2012,-0.568855507786214,BX07.2.1f1.6.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.7.1,2012,0.659829596393497,BX07.2.1f1.7.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.7.2,2012,0.435983035110123,BX07.2.1f1.7.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.8.1,2012,-0.775860909319151,BX07.2.1f1.8.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.8.2,2012,-0.153178003811699,BX07.2.1f1.8.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.9.1,2012,-1.64079589985318,BX07.2.1f1.9.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.9.2,2012,0.353350087521655,BX07.2.1f1.9.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.1,2012,1.32166441380296,BX07.2.1f2.1_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.10,2012,0.407431491387671,BX07.2.1f2.10_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.11,2012,0.468392190238384,BX07.2.1f2.11_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.12,2012,1.1709494345014,BX07.2.1f2.12_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.13,2012,0.518602904872887,BX07.2.1f2.13_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.14,2012,1.19172914835303,BX07.2.1f2.14_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.15,2012,1.35481316599901,BX07.2.1f2.15_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.16,2012,0.336082316160888,BX07.2.1f2.16_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.17,2012,-0.185827352482618,BX07.2.1f2.17_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.18,2012,0.208675147477074,BX07.2.1f2.18_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.19,2012,0.530770375896268,BX07.2.1f2.19_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.2,2012,1.16755014830711,BX07.2.1f2.2_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.20,2012,0.364768446922319,BX07.2.1f2.20_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.21,2012,0.315940169406218,BX07.2.1f2.21_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.25,2012,0.79109301257435,BX07.2.1f2.25_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.27,2012,0.371549320093554,BX07.2.1f2.27_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.28,2012,0.466456429668326,BX07.2.1f2.28_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.29,2012,-0.04364923280276,BX07.2.1f2.29_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.3,2012,-1.36174498877599,BX07.2.1f2.3_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.30,2012,-1.81250271357695,BX07.2.1f2.30_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.31,2012,0.745149627662736,BX07.2.1f2.31_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.34,2012,0.315873458404743,BX07.2.1f2.34_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.35,2012,0.107545850646371,BX07.2.1f2.35_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.36,2012,-0.35561766169064,BX07.2.1f2.36_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.37,2012,1.04160034151563,BX07.2.1f2.37_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.38,2012,0.363413104290786,BX07.2.1f2.38_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.39,2012,0.389129987794157,BX07.2.1f2.39_2012,TRUE
