pop,geno,BLUP,year,genotype_year,real
Dic2 x Lloyd,BX07.2.1f2.80,4.18203162051247,2015,BX07.2.1f2.80_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.81,-3.10307948735968,2015,BX07.2.1f2.81_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.82,3.26120574262644,2015,BX07.2.1f2.82_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.83,1.45871085634121,2015,BX07.2.1f2.83_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.84,-4.69109585047568,2015,BX07.2.1f2.84_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.85,-3.71483008074264,2015,BX07.2.1f2.85_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.86,-3.36449517307742,2015,BX07.2.1f2.86_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.87,2.32454013403114,2015,BX07.2.1f2.87_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.88,-3.18630121112951,2015,BX07.2.1f2.88_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.9,-2.23848534006323,2015,BX07.2.1f2.9_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.90,4.10396491170154,2015,BX07.2.1f2.90_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.91,-3.1653499167121,2015,BX07.2.1f2.91_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.92,0.814121842078412,2015,BX07.2.1f2.92_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.93,0.311589273249032,2015,BX07.2.1f2.93_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.94,1.83191105675197,2015,BX07.2.1f2.94_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.95,3.56479801214587,2015,BX07.2.1f2.95_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.96,-3.16988207817823,2015,BX07.2.1f2.96_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.97,-2.15890351312398,2015,BX07.2.1f2.97_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.98,-5.56943203122235,2015,BX07.2.1f2.98_2015,TRUE
Dic2 x Lloyd,BX07.2.1f2.99,-3.10711281314691,2015,BX07.2.1f2.99_2015,TRUE
Dic2 x Silur,TT06DC 38.11,-0.906004306258392,2015,TT06DC 38.11_2015,TRUE
Dic2 x Silur,TT06DC 38.13,-8.94223750795252,2015,TT06DC 38.13_2015,TRUE
Dic2 x Silur,TT06DC 38.15,-2.92255065438516,2015,TT06DC 38.15_2015,TRUE
Dic2 x Silur,TT06DC 38.19,-4.3540309962195,2015,TT06DC 38.19_2015,TRUE
Dic2 x Silur,TT06DC 38.23,2.71889909884561,2015,TT06DC 38.23_2015,TRUE
Dic2 x Silur,TT06DC 38.24,4.10846339048079,2015,TT06DC 38.24_2015,TRUE
Dic2 x Silur,TT06DC 38.25,0.865640351646038,2015,TT06DC 38.25_2015,TRUE
Dic2 x Silur,TT06DC 38.27,3.67204344769837,2015,TT06DC 38.27_2015,TRUE
Dic2 x Silur,TT06DC 38.29,2.05436410140239,2015,TT06DC 38.29_2015,TRUE
Dic2 x Silur,TT06DC 38.3,0.342113436475685,2015,TT06DC 38.3_2015,TRUE
Dic2 x Silur,TT06DC 38.32,1.90902137286372,2015,TT06DC 38.32_2015,TRUE
Dic2 x Silur,TT06DC 38.34,-0.00902980168242841,2015,TT06DC 38.34_2015,TRUE
Dic2 x Silur,TT06DC 38.35,1.26484300133951,2015,TT06DC 38.35_2015,TRUE
Dic2 x Silur,TT06DC 38.36,-1.73108864189877,2015,TT06DC 38.36_2015,TRUE
Dic2 x Silur,TT06DC 38.37,-0.550769765080744,2015,TT06DC 38.37_2015,TRUE
Dic2 x Silur,TT06DC 38.38,-2.55262328489878,2015,TT06DC 38.38_2015,TRUE
Dic2 x Silur,TT06DC 38.39,1.91981701095382,2015,TT06DC 38.39_2015,TRUE
Dic2 x Silur,TT06DC 38.41,2.59174542586653,2015,TT06DC 38.41_2015,TRUE
Dic2 x Silur,TT06DC 38.42,-3.73400656955303,2015,TT06DC 38.42_2015,TRUE
Dic2 x Silur,TT06DC 38.47,3.55036680672774,2015,TT06DC 38.47_2015,TRUE
Dic2 x Silur,TT06DC 38.49,-2.95581481721337,2015,TT06DC 38.49_2015,TRUE
Dic2 x Silur,TT06DC 38.50,0.995989967983798,2015,TT06DC 38.50_2015,TRUE
Dic2 x Silur,TT06DC 38.51,-5.34858901277666,2015,TT06DC 38.51_2015,TRUE
Dic2 x Silur,TT06DC 38.52,0.795196180305145,2015,TT06DC 38.52_2015,TRUE
Dic2 x Silur,TT06DC 38.53,-2.32856273940728,2015,TT06DC 38.53_2015,TRUE
Dic2 x Silur,TT06DC 38.54,-5.21141561570227,2015,TT06DC 38.54_2015,TRUE
Dic2 x Silur,TT06DC 38.7,3.31599138983039,2015,TT06DC 38.7_2015,TRUE
Dic2 x Silur,TT06DC 38.8,2.97557079145199,2015,TT06DC 38.8_2015,TRUE
Dic2 x Silur,TT06DC 38.9,0.418266303435761,2015,TT06DC 38.9_2015,TRUE
