pop,geno,year,BLUP,genotype_year,real
Dic2 x Lloyd,BX07.2.1f2.28,2012,0.0428814457284281,BX07.2.1f2.28_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.29,2012,0.112022331448442,BX07.2.1f2.29_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.3,2012,-0.510460975036188,BX07.2.1f2.3_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.30,2012,-0.285022289778583,BX07.2.1f2.30_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.31,2012,0.208179954776711,BX07.2.1f2.31_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.34,2012,-0.00921171989945496,BX07.2.1f2.34_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.35,2012,-0.0264096040867092,BX07.2.1f2.35_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.36,2012,-0.0303612003889069,BX07.2.1f2.36_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.37,2012,0.0799939729372972,BX07.2.1f2.37_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.38,2012,0.191007686121492,BX07.2.1f2.38_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.39,2012,0.200414339343727,BX07.2.1f2.39_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.4,2012,-0.387530199739258,BX07.2.1f2.4_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.40,2012,0.15563029596806,BX07.2.1f2.40_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.41,2012,0.264516831355828,BX07.2.1f2.41_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.42,2012,0.17470119167479,BX07.2.1f2.42_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.43,2012,0.178714708825474,BX07.2.1f2.43_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.44,2012,0.199846713459437,BX07.2.1f2.44_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.45,2012,-0.56040844735361,BX07.2.1f2.45_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.46,2012,-0.249839634705492,BX07.2.1f2.46_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.47,2012,-0.106378576664455,BX07.2.1f2.47_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.48,2012,0.263419399751366,BX07.2.1f2.48_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.49,2012,0.144599473440884,BX07.2.1f2.49_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.5,2012,-0.262178043729192,BX07.2.1f2.5_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.50,2012,0.205813091177094,BX07.2.1f2.50_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.51,2012,0.0954939688141402,BX07.2.1f2.51_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.52,2012,0.225139803410495,BX07.2.1f2.52_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.53,2012,-0.213904709069901,BX07.2.1f2.53_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.54,2012,0.247213603940725,BX07.2.1f2.54_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.55,2012,0.132420413277596,BX07.2.1f2.55_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.56,2012,0.329498362172401,BX07.2.1f2.56_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.57,2012,-0.0821424166528064,BX07.2.1f2.57_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.58,2012,0.188576572742742,BX07.2.1f2.58_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.59,2012,0.252665485670592,BX07.2.1f2.59_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.6,2012,0.125416028106588,BX07.2.1f2.6_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.60,2012,0.112023493913068,BX07.2.1f2.60_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.61,2012,0.138021024285403,BX07.2.1f2.61_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.62,2012,0.136882740718915,BX07.2.1f2.62_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.63,2012,0.188195077175118,BX07.2.1f2.63_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.64,2012,-0.148588413498102,BX07.2.1f2.64_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.65,2012,0.143829610428598,BX07.2.1f2.65_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.66,2012,0.14193744620791,BX07.2.1f2.66_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.67,2012,0.0167762577548723,BX07.2.1f2.67_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.68,2012,0.153781677013841,BX07.2.1f2.68_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.69,2012,0.0294815374536909,BX07.2.1f2.69_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.7,2012,-0.260405870047964,BX07.2.1f2.7_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.70,2012,0.243054113251012,BX07.2.1f2.70_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.71,2012,0.215436234159903,BX07.2.1f2.71_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.72,2012,0.291120791073606,BX07.2.1f2.72_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.73,2012,0.183459305045362,BX07.2.1f2.73_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.74,2012,-0.0417133813261223,BX07.2.1f2.74_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.75,2012,0.0769620839639385,BX07.2.1f2.75_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.76,2012,0.0584374921472774,BX07.2.1f2.76_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.77,2012,0.0368097796173139,BX07.2.1f2.77_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.78,2012,0.235647226708931,BX07.2.1f2.78_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.79,2012,0.0430981444631882,BX07.2.1f2.79_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.8,2012,-0.376114238863009,BX07.2.1f2.8_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.80,2012,0.127507643765194,BX07.2.1f2.80_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.82,2012,0.0320629728193303,BX07.2.1f2.82_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.83,2012,-0.319548366740335,BX07.2.1f2.83_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.84,2012,-0.434166419990467,BX07.2.1f2.84_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.85,2012,-0.324281585899046,BX07.2.1f2.85_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.86,2012,-0.23852154890124,BX07.2.1f2.86_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.87,2012,0.195840125426929,BX07.2.1f2.87_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.88,2012,-0.266573560753872,BX07.2.1f2.88_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.89,2012,0.116052050736398,BX07.2.1f2.89_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.9,2012,-0.0544030860219603,BX07.2.1f2.9_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.90,2012,0.316359473863153,BX07.2.1f2.90_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.91,2012,-0.222688620523403,BX07.2.1f2.91_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.92,2012,0.00222577635866422,BX07.2.1f2.92_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.93,2012,-0.0579337045803466,BX07.2.1f2.93_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.94,2012,0.153787546248789,BX07.2.1f2.94_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.96,2012,0.0493379838802911,BX07.2.1f2.96_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.97,2012,-0.251014562645603,BX07.2.1f2.97_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.98,2012,0.0495843452604944,BX07.2.1f2.98_2012,TRUE
Dic2 x Lloyd,BX07.2.1f2.99,2012,-0.200431160124083,BX07.2.1f2.99_2012,TRUE
Dic2 x Lloyd,BX07.2.1f1.1.1,2015,-0.48710072473228,BX07.2.1f1.1.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.1.2,2015,-0.0166132223954292,BX07.2.1f1.1.2_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.10.1,2015,-0.534393377937377,BX07.2.1f1.10.1_2015,TRUE
Dic2 x Lloyd,BX07.2.1f1.10.2,2015,-0.424783904378979,BX07.2.1f1.10.2_2015,TRUE
